iId,uId,rating,mpip
1357,93,3,4
952,465,3,4
11,898,4,3
1332,621,4,3
1356,595,3,3
325,809,3,3
709,160,4,4
1314,8,4,4
1184,894,4,3
1469,411,4,4
892,892,4,3
1019,422,3,4
374,469,5,3
1628,934,4,3
933,657,3,3
471,438,4,3
148,742,3,3
156,158,4,4
401,727,2,3
98,435,5,4
862,49,3,3
1658,875,4,3
26,750,3,3
1139,802,3,3
757,573,4,3
420,943,3,3
62,551,5,4
102,183,3,4
970,24,4,4
1087,43,4,4
417,872,3,3
397,471,3,4
281,544,3,3
191,758,5,3
1314,583,4,3
774,586,3,3
713,83,3,4
3,705,4,3
1229,542,3,4
1413,675,4,3
82,602,4,3
1230,623,4,3
359,462,4,3
715,10,4,4
985,737,4,3
719,395,4,4
1639,906,4,3
693,626,2,3
1140,575,3,3
978,201,3,4
75,173,4,3
1357,735,3,3
496,575,3,3
1254,561,3,3
121,739,4,3
871,606,4,3
958,742,3,3
1426,726,3,3
1327,923,4,3
34,782,3,2
1570,534,4,3
191,486,3,4
1227,616,4,3
811,436,4,4
1031,21,3,3
1505,368,3,4
1464,454,3,2
707,67,4,4
1455,827,3,3
1268,497,3,4
1565,256,4,4
528,575,3,3
873,730,2,3
504,677,4,3
575,66,3,4
572,442,3,4
68,34,4,4
1268,615,4,3
258,304,3,4
653,510,3,3
320,881,3,3
344,857,3,3
478,385,3,4
801,714,4,3
611,158,4,4
1665,335,4,4
214,20,3,4
855,170,4,4
1119,892,4,3
515,676,4,3
1477,518,4,3
1306,442,3,4
1579,534,4,3
426,25,4,4
957,595,3,3
681,378,3,4
957,136,4,3
986,525,3,3
1534,932,4,3
1383,597,4,3
1203,439,4,4
1596,604,3,3
1291,285,4,4
1477,269,3,4
245,105,3,4
65,804,4,3
812,825,4,3
342,512,4,3
740,551,4,3
584,244,5,4
1301,435,3,4
702,207,3,4
1546,584,4,3
93,665,3,3
413,173,4,3
609,151,4,4
43,500,3,4
949,252,4,3
1082,282,4,4
1267,67,4,4
432,588,4,3
1424,840,4,3
872,631,3,3
262,459,3,4
159,109,4,4
820,198,1,4
551,285,4,4
826,821,4,3
145,545,4,4
1600,424,3,4
1499,108,4,4
1360,635,3,3
923,170,4,4
109,254,3,4
556,322,4,3
116,135,3,4
1231,473,4,4
444,67,4,4
723,805,3,3
1063,810,4,3
125,428,4,4
1334,222,3,4
676,932,4,3
855,530,4,4
152,559,4,3
157,747,4,3
1536,855,3,3
309,693,3,3
996,757,3,3
1293,425,3,2
1439,870,3,3
1061,470,4,4
1438,388,4,3
1210,393,3,4
1564,211,3,4
1210,39,4,4
970,420,4,3
1605,602,4,3
752,380,3,4
418,817,3,3
1552,612,3,3
1029,48,4,4
1619,689,4,3
842,406,4,4
44,661,4,3
195,429,4,4
184,325,3,4
515,203,3,4
317,902,3,3
937,439,4,4
1101,129,3,3
1186,408,4,4
1213,475,4,4
446,795,3,3
427,860,3,3
834,587,3,3
852,879,4,3
1303,183,3,4
753,870,3,3
1609,921,3,3
1598,880,3,3
488,491,4,4
1427,334,4,4
475,735,4,3
665,61,3,3
851,260,4,3
993,248,4,4
1391,328,3,4
1511,19,4,4
1161,417,3,4
214,64,3,4
525,610,4,3
1387,353,3,4
923,475,4,4
1432,610,4,3
878,94,4,4
359,500,3,4
1043,689,4,3
365,276,3,4
421,811,4,3
220,915,3,3
1284,744,4,3
559,324,4,3
679,27,3,4
628,655,3,3
237,230,5,4
766,885,3,3
385,626,2,3
1411,618,3,3
1616,828,3,3
203,307,4,4
1049,75,3,4
705,488,4,4
1637,844,4,3
1141,592,4,3
677,862,4,3
671,477,4,3
750,841,4,3
768,512,4,3
698,886,3,3
165,637,2,3
28,552,3,4
1275,624,4,3
1408,489,4,4
1073,412,4,4
1548,126,4,4
1277,98,4,4
1434,727,3,3
862,625,3,3
1473,896,3,2
1529,502,3,4
987,163,3,4
865,572,3,3
191,136,4,3
1246,291,4,4
905,796,4,3
1061,575,3,3
1680,806,4,3
647,107,3,4
1376,708,3,3
1253,119,4,4
1649,735,3,3
312,792,3,3
228,32,3,4
1336,329,3,4
1212,517,3,4
1664,737,4,3
1337,483,3,4
57,130,4,4
1041,943,3,3
647,473,4,4
1469,882,4,3
61,661,4,3
1411,364,3,4
1321,885,3,3
1484,929,4,3
1292,580,4,3
140,161,3,3
524,888,4,3
975,103,4,4
367,593,4,3
876,526,3,3
383,139,4,3
1476,932,4,3
553,924,4,3
38,674,4,3
1168,507,5,3
1624,249,4,3
127,655,5,3
1597,816,4,3
1625,128,4,4
29,689,4,3
1467,373,4,4
726,136,4,3
99,758,3,3
1545,835,4,3
597,911,4,3
853,607,4,3
691,365,3,4
1576,562,4,3
823,769,3,3
1366,64,4,4
874,517,3,3
236,551,4,3
320,62,3,4
1163,276,3,4
180,787,3,3
1252,596,4,3
1078,506,4,4
930,89,4,3
442,478,3,4
1087,820,3,3
606,605,4,3
1326,938,3,3
1422,100,3,4
371,347,1,4
1469,636,4,3
639,456,3,4
220,723,3,3
1378,284,4,4
1586,239,4,3
1646,70,3,4
1476,419,4,3
1137,903,4,3
1122,292,4,3
148,598,4,3
1009,392,4,3
481,457,4,3
569,313,4,4
90,71,4,4
348,428,4,4
1355,674,4,3
610,725,4,3
829,232,4,4
855,884,4,3
1155,91,4,4
1265,534,4,3
430,429,4,4
98,665,4,3
1280,525,3,3
419,760,3,3
1378,255,3,3
941,590,4,3
818,127,4,3
44,421,4,4
163,533,3,3
1110,115,4,4
705,866,3,3
1295,864,4,3
1461,741,3,3
602,451,3,3
642,397,4,4
997,820,3,3
1500,566,3,3
205,907,5,3
1572,54,4,4
588,831,4,3
512,258,4,4
940,427,5,3
164,224,3,3
420,17,3,4
1656,365,3,4
101,573,4,3
1248,314,4,4
1167,888,4,3
1152,628,5,3
1673,608,4,3
81,390,4,4
108,135,3,4
8,11,4,4
1064,829,4,3
599,744,4,3
1434,909,4,3
1484,651,3,3
666,132,4,4
1681,298,4,4
921,464,4,3
1255,649,4,3
1221,277,4,4
1482,918,3,3
1189,832,3,3
1350,603,4,3
221,661,4,3
1255,340,4,3
873,69,4,4
540,802,3,3
384,809,3,3
649,781,4,3
532,243,4,4
1278,663,4,3
136,54,4,4
867,124,4,4
309,832,3,3
1103,158,4,4
833,573,4,3
1057,755,3,3
961,121,4,4
648,540,4,3
757,272,4,3
400,907,5,3
1557,272,4,3
796,245,3,4
1552,196,4,4
689,456,3,4
1539,422,3,4
883,122,4,4
895,25,4,4
462,818,3,3
1675,528,4,4
1091,928,5,3
841,422,3,4
1230,393,3,4
96,182,4,4
1377,638,4,3
264,668,4,3
956,864,4,3
915,331,4,4
1608,739,4,3
220,901,4,3
675,149,3,3
69,401,3,4
1510,450,4,4
16,2,4,4
1456,506,4,4
335,235,4,4
30,779,4,3
579,61,3,3
1193,644,4,3
1478,102,3,3
988,483,3,4
1165,269,1,4
1406,885,3,3
230,24,4,4
538,253,4,4
422,798,3,3
972,90,4,4
681,89,4,3
1045,444,4,4
1269,733,3,3
581,819,4,3
1607,254,3,4
252,501,4,4
913,268,3,2
1643,588,4,3
414,673,4,3
1643,604,3,3
636,198,3,4
242,677,4,3
1069,793,4,3
1641,862,4,3
578,596,4,3
1405,309,4,4
654,527,4,3
927,98,4,4
945,188,4,4
281,289,3,3
471,765,4,3
1284,375,4,4
234,512,4,3
1651,180,4,4
470,200,4,3
442,210,4,3
1012,705,4,3
1681,618,3,3
1338,703,4,3
884,717,4,3
121,163,3,4
889,37,4,4
1300,666,4,3
1365,686,5,3
1551,901,4,3
1086,249,4,3
412,198,3,4
987,192,4,4
317,182,4,4
1318,462,4,3
1654,310,4,4
426,738,4,3
239,381,4,4
33,603,4,3
1669,205,3,3
105,937,3,3
1573,887,4,3
558,16,4,4
37,630,3,3
313,470,4,4
969,670,2,3
1574,845,3,3
1317,751,4,3
934,866,3,3
15,467,4,4
321,878,2,3
268,202,3,3
250,371,4,3
1662,385,3,4
1370,259,4,4
1549,740,3,3
1299,40,3,3
1470,654,4,3
1320,432,4,4
1181,312,4,3
962,665,3,3
1632,923,4,3
277,545,4,4
803,284,4,4
140,239,4,3
1039,25,4,4
950,134,4,4
1086,95,3,4
186,165,4,4
1052,860,3,3
110,937,3,3
1523,906,4,3
1005,575,3,3
600,656,3,3
308,196,4,4
529,109,3,4
1105,687,3,3
764,330,4,3
244,732,4,3
1628,851,3,3
825,890,4,3
1059,409,4,4
909,660,3,3
1456,63,3,4
471,578,3,3
845,507,5,3
333,422,4,4
1353,518,4,4
1207,925,3,3
109,248,4,4
1647,347,4,4
710,883,4,3
1355,445,2,3
1469,930,3,3
1130,473,4,4
1506,400,4,4
16,416,4,4
555,674,4,3
411,785,4,3
1001,465,3,4
449,199,3,3
748,397,2,4
549,263,4,3
792,58,4,4
1458,647,4,3
1512,136,4,3
1581,433,4,4
27,721,4,3
1028,804,3,3
342,351,4,3
678,886,3,3
273,721,4,3
616,718,4,3
352,128,4,4
731,819,4,3
645,646,3,3
455,601,4,3
941,339,4,3
565,495,4,4
1389,716,4,3
1096,537,3,2
1345,255,3,3
1425,788,3,3
1320,712,4,3
621,411,4,4
149,68,3,4
1344,724,2,3
1533,312,4,3
1008,343,4,4
598,230,4,4
169,29,4,4
1050,464,4,3
1618,65,4,4
1126,150,4,4
153,656,3,3
139,292,4,3
408,158,5,4
298,408,4,4
516,180,4,4
1594,723,3,3
1544,321,4,4
407,401,3,4
146,796,4,3
1141,247,4,4
329,646,3,3
402,622,3,3
750,736,3,3
241,232,4,4
980,107,3,4
818,725,4,3
1014,740,3,3
1337,400,4,4
877,391,4,4
888,338,4,3
1488,214,4,4
756,51,4,4
188,272,4,3
1079,688,5,3
15,232,4,4
564,368,3,4
138,294,3,4
280,406,4,4
1620,271,4,4
1061,117,4,4
584,741,3,3
1494,384,4,3
324,175,4,4
460,534,4,3
1148,767,4,3
1166,152,4,3
1133,166,4,4
1319,561,3,3
648,124,4,4
1592,249,4,3
1331,280,4,4
915,794,4,3
1422,301,4,4
438,739,4,3
264,34,4,4
240,350,4,3
891,497,3,4
1576,867,4,3
943,438,4,3
742,26,3,3
692,242,4,3
843,22,3,4
860,924,4,3
1529,516,4,3
271,856,3,3
1019,69,4,4
687,159,3,4
743,547,4,3
899,373,4,4
768,491,4,4
422,114,4,4
520,611,4,3
641,855,3,3
1468,153,3,3
1591,464,4,3
598,365,3,4
1595,684,3,3
700,589,3,3
931,11,3,4
1106,915,3,3
1089,858,3,3
671,776,3,3
860,147,4,4
906,674,4,3
1346,332,4,3
204,255,3,3
1395,632,4,3
208,731,3,3
1257,680,4,3
313,266,4,4
937,929,4,3
1312,367,4,3
151,623,4,3
1419,878,3,3
1412,914,3,3
827,891,4,3
1373,852,3,3
1321,872,3,3
754,164,4,3
1090,87,4,4
1375,828,3,3
1334,913,4,3
1297,8,4,4
647,892,4,3
1484,801,4,3
1462,124,4,4
581,451,3,3
1648,63,3,4
21,864,4,3
1078,248,4,4
1186,123,4,4
514,709,4,3
1181,588,4,3
1546,242,4,3
998,484,4,4
985,84,4,4
40,424,3,4
857,102,3,3
90,878,3,3
1603,861,4,3
804,33,4,4
924,157,4,4
143,457,5,3
26,925,3,3
1231,570,3,3
382,238,3,4
233,935,4,3
132,439,4,4
1596,80,4,4
568,508,4,4
881,931,4,3
882,239,4,3
318,21,3,3
532,100,3,4
731,186,3,4
1138,904,4,3
1162,27,3,4
1481,942,4,3
661,87,4,4
1483,640,4,3
1228,2,4,4
1342,777,4,3
20,421,4,4
1066,333,4,4
1514,463,3,3
222,30,4,4
1447,233,4,3
480,543,4,3
231,924,4,3
966,866,3,3
1304,554,4,3
271,148,4,3
915,736,3,3
1605,862,4,3
1185,684,3,3
1373,463,3,3
448,219,4,4
1638,709,4,3
705,799,4,3
561,579,3,3
994,849,5,3
552,681,3,3
605,465,3,4
803,671,4,3
1136,405,2,2
427,284,4,4
693,444,4,4
444,582,3,3
1641,256,4,4
1230,733,3,3
919,389,4,4
683,469,5,3
439,706,3,3
1467,623,4,3
1197,546,4,3
306,69,4,4
1526,362,3,4
117,39,4,4
986,284,4,4
683,335,4,4
1366,237,4,3
284,846,4,3
1233,134,4,4
176,663,5,3
1235,647,4,3
1054,366,4,3
1540,317,4,4
13,643,4,3
293,886,3,3
119,97,4,4
1151,244,4,4
1317,323,4,4
308,111,4,4
1388,806,4,3
197,888,4,3
1643,843,3,2
842,575,3,3
762,522,4,3
1314,870,3,3
1036,352,4,4
833,411,4,4
89,404,3,4
1579,44,4,4
314,823,4,3
503,427,5,3
131,927,4,3
156,599,4,3
297,2,4,4
1579,385,3,4
784,768,3,3
640,474,4,3
1309,606,4,3
1556,707,3,3
1030,828,3,3
734,909,4,3
476,735,3,3
298,56,4,4
831,122,4,4
1245,579,3,3
1269,543,4,3
1568,234,3,4
727,372,4,3
1658,551,4,3
924,347,4,4
530,433,4,4
964,900,3,3
1301,620,4,4
586,689,4,3
1490,714,4,3
1288,114,4,4
1132,651,3,3
550,840,4,3
1389,781,4,3
807,900,3,3
1317,258,4,4
217,11,3,4
1480,121,4,4
1135,562,4,4
1348,848,4,3
75,345,4,4
189,722,4,3
162,752,3,3
221,554,4,3
413,370,4,4
1086,36,4,4
628,80,4,4
411,541,4,3
761,536,4,4
926,246,3,2
178,71,4,4
283,782,3,2
1086,593,4,3
469,261,4,3
226,569,3,3
14,96,4,3
1517,133,3,4
940,782,3,2
1130,11,3,4
1326,174,4,4
1558,649,4,3
1623,871,3,3
1211,731,3,3
1360,261,4,3
860,830,4,3
1617,827,3,3
1546,442,3,4
1003,359,4,4
551,97,4,4
1124,530,4,4
549,601,3,3
399,355,4,3
414,741,3,3
793,85,4,4
560,615,4,3
340,6,2,4
1634,189,4,4
88,769,3,3
1517,768,3,3
1302,149,3,3
998,890,4,3
740,741,3,3
1086,483,3,4
852,937,3,3
945,466,3,4
875,673,4,3
355,544,3,3
736,84,4,4
1059,402,4,4
1176,531,3,3
90,887,5,3
1471,229,3,3
109,110,3,4
999,751,4,3
1018,603,4,3
86,500,3,4
322,405,2,2
585,571,3,3
392,31,4,4
710,449,4,4
10,64,5,4
427,175,4,4
493,752,3,3
1599,456,3,4
1560,208,4,4
1433,608,4,3
792,613,4,3
343,169,4,4
1603,115,4,4
181,791,5,3
1190,62,3,4
407,200,4,3
674,342,3,4
1115,27,3,4
378,761,3,3
1409,406,4,4
759,397,4,4
63,559,4,3
558,194,3,2
1158,784,4,3
404,685,2,3
1076,615,4,3
333,364,3,4
193,572,3,3
846,344,4,4
92,430,4,4
1356,597,4,3
213,507,5,3
162,475,4,4
62,421,4,4
1626,924,4,3
177,216,4,4
1555,817,3,3
903,284,4,4
110,523,4,3
35,719,3,3
1358,668,4,3
847,283,4,3
291,1,4,4
1669,291,4,4
348,410,3,4
747,322,4,3
450,728,4,3
670,549,4,4
900,771,4,3
7,264,5,3
175,777,4,3
282,281,3,4
1483,863,3,3
1544,367,4,3
844,605,4,3
1268,703,4,3
818,686,5,3
181,661,5,3
1614,503,4,3
486,890,4,3
1067,866,3,3
432,177,4,4
1057,241,3,4
824,897,4,3
827,889,3,3
1545,472,4,3
706,49,3,2
1264,795,3,3
1190,109,3,4
1525,70,3,4
1630,659,4,3
560,25,4,4
725,42,4,4
1341,475,4,4
372,650,3,3
811,371,4,3
1328,172,3,4
799,371,4,3
339,544,3,3
543,883,4,3
984,434,4,4
505,387,3,4
1439,599,4,4
1096,581,4,3
1274,135,3,4
1441,780,4,3
1066,360,4,4
912,484,4,4
996,887,4,3
958,920,3,3
610,230,4,4
1127,84,4,4
389,380,3,4
1038,202,3,3
322,131,4,3
697,203,3,4
1562,189,4,4
1059,681,3,3
703,814,3,3
299,849,5,3
1278,893,3,3
893,467,4,4
1535,777,4,3
1027,47,4,4
1300,900,3,3
15,473,4,4
1166,917,4,3
965,683,3,3
1364,400,4,4
851,257,4,3
386,13,3,4
979,629,4,3
564,254,3,4
554,759,4,3
3,637,2,3
258,188,4,4
977,446,3,3
769,60,4,4
523,491,4,4
1128,574,4,4
526,381,4,4
86,671,4,3
39,82,3,4
176,128,4,4
883,41,4,4
1098,424,3,4
794,860,3,3
1641,539,4,4
527,288,3,4
1658,577,4,3
221,896,3,2
870,417,3,4
711,460,3,4
1138,741,3,3
235,548,3,3
463,733,3,3
929,106,4,4
357,271,5,4
792,220,4,4
803,501,4,4
520,20,3,4
739,705,4,3
183,717,4,3
290,179,3,4
1637,245,3,4
1204,808,4,3
919,380,3,4
1673,597,4,3
911,723,3,3
637,554,4,3
1501,664,4,3
236,637,2,3
1053,684,3,3
564,146,4,4
1640,221,4,4
1599,310,4,4
1655,759,4,3
30,385,5,4
227,223,3,4
115,123,4,4
1674,518,4,3
678,633,3,3
1091,71,4,4
753,215,4,4
158,99,4,4
1324,81,3,4
968,918,3,3
999,729,3,3
1304,877,4,3
1257,668,4,3
1474,637,2,3
853,378,3,4
183,5,4,3
345,64,4,4
673,650,3,3
1287,459,3,4
1393,135,3,4
966,578,3,3
1127,868,3,2
71,725,4,3
1147,585,4,4
1216,377,4,4
336,810,4,3
570,893,3,3
1671,209,3,4
909,904,4,3
317,271,3,4
1069,4,4,4
828,702,2,3
1484,791,4,3
1260,514,4,4
1634,628,5,3
757,271,4,4
306,891,4,3
46,286,4,4
1088,88,4,4
486,380,3,4
397,247,4,4
916,325,3,4
868,624,4,3
437,358,4,4
499,440,4,3
1013,52,4,4
1643,347,4,4
1499,292,4,3
1424,284,4,4
579,774,2,3
99,824,3,3
1308,744,4,3
1509,4,4,4
1521,715,3,3
1393,800,4,3
58,265,4,4
1308,692,3,3
1566,686,5,3
771,410,3,4
1499,700,4,3
441,170,4,4
659,121,4,4
16,468,4,4
701,547,4,3
1665,519,4,3
674,885,3,3
1012,252,4,3
1396,656,3,3
588,290,4,4
122,91,4,4
1473,493,4,4
147,390,4,4
450,767,4,3
1104,274,4,3
71,569,3,3
824,902,3,3
40,676,4,3
892,26,3,3
322,41,4,4
1153,791,4,3
917,514,4,4
1167,330,4,3
953,686,5,3
938,445,2,3
1326,351,4,3
228,833,3,3
1178,707,3,3
1120,417,3,4
1111,738,4,3
1244,46,4,4
1390,421,4,4
1190,468,4,4
1012,447,4,4
1051,818,3,3
127,149,3,3
652,91,4,4
146,54,4,4
672,797,3,3
875,625,3,3
1355,493,4,4
818,19,4,4
123,353,3,4
1287,212,4,4
262,129,3,3
357,45,4,4
294,902,2,3
679,725,4,3
1519,304,3,4
944,254,3,4
625,355,4,3
1025,464,2,3
222,788,3,3
1575,193,3,4
676,309,4,4
963,304,3,4
732,364,3,4
55,809,3,3
1431,262,3,4
121,394,4,4
313,387,3,4
1425,680,4,3
1311,733,3,3
883,724,2,3
786,100,3,4
1573,215,4,4
522,501,4,4
1190,604,3,3
671,668,4,3
922,921,3,3
1607,860,3,3
247,411,4,4
1484,369,4,3
1001,637,2,3
15,248,4,4
186,189,2,4
605,196,4,4
1014,457,4,3
837,634,3,3
1519,154,4,4
1315,108,4,4
675,720,4,3
1537,535,4,3
169,622,5,3
684,36,4,4
572,327,3,4
1679,388,4,3
1667,133,3,4
1445,379,4,4
233,17,3,4
1005,825,4,3
377,942,4,3
1211,4,4,4
240,609,2,3
1370,835,4,3
952,757,3,3
1284,167,3,4
508,897,4,3
409,76,4,4
1321,555,4,3
1258,687,3,3
969,561,3,3
1112,549,4,3
1364,115,4,4
603,565,5,3
1413,410,3,4
562,747,4,3
260,420,4,3
753,477,4,3
449,592,4,3
816,845,3,3
1170,57,4,4
122,521,3,4
1564,790,3,3
1069,62,3,4
1560,128,4,4
1660,439,4,4
1298,105,3,4
1253,68,3,4
4,848,4,3
806,179,3,4
1668,62,3,4
795,534,4,3
491,702,2,3
619,467,4,4
196,886,3,3
97,510,3,3
1145,915,3,3
1514,392,4,3
824,677,4,3
824,750,3,3
641,431,3,4
1369,484,4,4
1234,890,4,3
1454,31,4,4
505,297,3,4
1620,117,4,4
1076,879,4,3
64,297,3,4
318,658,4,3
305,826,4,3
917,402,4,4
1240,716,4,3
1355,334,4,4
919,2,4,4
383,120,4,4
1076,103,4,4
133,414,4,4
1076,7,4,4
625,436,4,4
1243,147,4,4
1392,894,4,3
456,399,3,2
1016,498,3,4
916,333,4,4
1072,305,3,4
827,850,5,3
958,206,2,3
1580,859,4,3
1279,162,4,4
149,645,4,3
358,270,4,3
586,670,4,3
574,919,3,3
1218,865,2,3
155,633,3,3
37,806,4,3
543,717,4,3
500,187,4,4
1375,259,4,4
389,83,3,4
1436,254,3,4
870,696,4,3
744,846,4,3
920,348,4,4
829,16,4,4
62,374,3,4
18,256,4,4
1132,169,4,4
1108,339,4,3
1403,52,4,4
362,472,5,3
1223,452,3,4
549,701,4,3
942,114,4,4
737,49,1,3
1629,251,4,4
1458,536,4,4
609,431,3,4
968,797,3,3
859,308,4,4
162,910,3,3
39,940,3,3
332,523,4,3
89,572,3,3
328,934,4,3
1033,52,4,4
574,386,4,4
258,569,5,3
1527,565,5,3
664,608,4,3
350,89,4,3
1167,156,4,4
934,607,4,3
262,91,4,4
225,552,3,3
921,550,4,3
429,598,4,3
971,415,4,3
1190,34,4,4
1245,500,3,4
820,225,5,3
1194,81,3,4
226,697,4,3
528,409,4,4
1242,178,4,4
739,894,4,3
227,484,5,4
993,784,4,3
1624,410,3,4
1015,781,4,3
1359,441,4,4
903,340,4,3
561,645,4,3
591,938,3,3
1125,44,4,4
1379,264,4,3
720,327,3,4
640,907,5,3
1680,479,3,4
1056,364,3,4
1295,733,3,3
418,766,3,3
1429,257,4,3
1058,580,4,3
875,670,4,3
872,9,4,4
674,350,4,3
83,498,3,4
31,268,4,2
1086,883,4,3
36,506,4,4
1064,389,4,4
347,351,4,3
1138,479,3,4
703,438,4,3
608,180,4,4
802,552,3,3
45,237,4,3
212,737,4,3
953,460,3,4
1193,641,4,3
1422,540,4,4
1095,191,4,4
1388,860,3,3
323,348,5,4
1513,14,4,4
295,53,4,4
1627,387,3,4
453,393,3,4
92,145,3,4
1128,58,4,4
219,697,4,3
756,417,3,4
281,238,3,4
1492,304,3,4
1332,539,4,3
317,703,4,3
1616,855,3,3
1605,473,4,4
516,167,3,4
1459,791,4,3
666,897,4,3
758,825,4,3
1402,917,4,3
172,931,4,3
1540,329,3,4
1391,112,4,4
1658,340,4,3
342,793,4,3
1335,511,4,3
1168,707,3,3
1172,323,4,4
1238,837,3,3
1519,590,4,3
726,459,3,4
176,851,4,3
842,417,3,4
32,782,3,2
734,221,4,4
1534,622,3,3
591,276,3,4
1413,876,4,3
1186,118,5,3
1502,373,4,4
275,28,4,4
142,899,4,3
88,312,4,3
952,632,4,3
1029,630,3,3
847,500,3,4
1301,56,4,4
446,260,4,3
926,870,3,3
1315,892,4,3
1080,482,3,4
1312,598,4,3
1575,345,4,4
929,260,4,3
520,689,4,3
1504,401,3,4
1473,458,4,4
309,167,3,4
1172,695,3,3
251,662,4,3
1565,367,4,3
1442,886,3,3
1135,709,4,3
563,278,4,3
1319,537,3,2
1182,596,4,3
719,57,4,4
125,509,3,3
664,322,4,3
1394,300,4,4
75,466,3,4
293,521,3,4
536,291,4,4
916,151,4,4
681,398,4,4
485,729,3,3
1613,903,4,3
155,224,3,3
21,162,4,4
807,414,4,4
1285,766,3,3
453,119,4,4
37,696,4,3
1327,861,4,3
326,471,3,4
735,797,3,3
26,904,4,3
1179,934,4,3
1072,233,4,3
1366,239,4,3
56,129,3,3
118,556,4,3
745,519,4,3
626,428,4,4
1351,537,3,2
40,472,4,3
1366,118,5,3
308,943,3,3
59,143,4,4
1676,836,4,3
945,348,4,4
1169,655,3,3
923,175,4,4
498,112,4,4
1210,350,4,3
1573,94,4,4
1431,442,3,4
1549,341,4,4
485,131,4,3
1649,315,4,3
98,539,4,4
1077,83,3,4
974,22,3,4
572,885,3,3
1371,891,4,3
1429,136,4,3
