user,item,rating,cosine,jaccard,pearson,pip,mpip
457,70,4,4.0,3.0,4.0,4.0,4.0
193,258,3,3.0,3.0,3.0,3.0,4.0
622,363,4,3.0,3.0,3.0,3.0,3.0
642,588,5,4.0,3.0,4.0,3.0,3.0
367,100,5,3.0,3.0,3.0,4.0,4.0
524,488,4,4.0,4.0,4.0,4.0,3.0
796,69,5,4.0,3.0,6.0,4.0,4.0
306,306,5,4.0,3.0,3.0,3.0,4.0
94,183,5,4.0,3.0,4.0,4.0,4.0
815,77,4,0.0,3.0,4.0,4.0,3.0
469,134,5,4.0,4.0,3.0,4.0,4.0
704,429,4,3.0,4.0,3.0,4.0,3.0
711,25,4,0.0,3.0,3.0,3.0,3.0
194,321,3,3.0,3.0,3.0,3.0,3.0
783,750,4,4.0,4.0,4.0,3.0,3.0
116,199,4,4.0,4.0,4.0,4.0,3.0
832,873,2,3.0,3.0,3.0,3.0,3.0
919,676,4,0.0,4.0,4.0,4.0,4.0
218,175,3,0.0,3.0,4.0,4.0,4.0
151,433,3,3.0,3.0,3.0,3.0,3.0
339,1526,4,4.0,4.0,4.0,4.0,4.0
689,257,5,0.0,3.0,4.0,4.0,4.0
393,588,4,3.0,4.0,3.0,3.0,4.0
716,127,5,4.0,3.0,-2.0,4.0,4.0
378,803,3,3.0,3.0,3.0,3.0,3.0
451,303,2,3.0,3.0,3.0,3.0,3.0
417,29,2,0.0,3.0,3.0,3.0,3.0
291,1157,3,4.0,3.0,4.0,4.0,4.0
286,771,2,4.0,3.0,4.0,4.0,4.0
62,164,5,3.0,3.0,3.0,4.0,3.0
506,568,5,4.0,3.0,3.0,3.0,5.0
877,582,2,4.0,3.0,4.0,4.0,4.0
184,317,3,4.0,3.0,4.0,4.0,4.0
817,329,4,3.0,3.0,3.0,4.0,3.0
168,181,4,4.0,3.0,4.0,4.0,4.0
58,124,5,4.0,3.0,4.0,3.0,4.0
85,210,3,0.0,3.0,4.0,4.0,4.0
378,972,4,3.0,4.0,3.0,3.0,3.0
747,48,5,4.0,3.0,4.0,4.0,4.0
760,682,3,3.0,3.0,4.0,3.0,4.0
303,80,4,0.0,3.0,3.0,3.0,3.0
291,125,4,4.0,3.0,4.0,4.0,3.0
140,880,4,3.0,3.0,4.0,3.0,3.0
554,275,4,4.0,4.0,4.0,4.0,4.0
560,132,3,3.0,4.0,3.0,3.0,3.0
486,1016,2,3.0,4.0,3.0,4.0,4.0
151,83,5,3.0,4.0,4.0,3.0,4.0
665,301,4,4.0,3.0,4.0,3.0,4.0
102,176,3,3.0,3.0,3.0,3.0,3.0
693,735,4,3.0,3.0,3.0,3.0,3.0
495,403,5,4.0,3.0,4.0,4.0,4.0
437,1161,4,4.0,3.0,4.0,3.0,4.0
617,573,4,3.0,3.0,3.0,3.0,3.0
239,605,4,0.0,3.0,4.0,4.0,5.0
709,209,3,4.0,3.0,4.0,4.0,3.0
519,748,2,0.0,3.0,4.0,3.0,3.0
201,196,4,0.0,3.0,3.0,3.0,4.0
872,363,4,0.0,3.0,3.0,3.0,3.0
13,624,5,3.0,4.0,3.0,3.0,3.0
506,430,4,4.0,4.0,4.0,4.0,4.0
918,161,1,4.0,3.0,3.0,4.0,4.0
489,883,2,4.0,3.0,4.0,3.0,4.0
699,98,4,3.0,3.0,3.0,3.0,4.0
186,470,5,3.0,3.0,3.0,3.0,3.0
23,98,5,4.0,3.0,4.0,4.0,4.0
401,97,4,4.0,3.0,3.0,3.0,4.0
727,312,3,3.0,3.0,4.0,3.0,4.0
791,181,5,0.0,3.0,4.0,4.0,4.0
186,177,4,3.0,3.0,3.0,3.0,4.0
682,148,3,4.0,3.0,3.0,4.0,4.0
303,216,5,0.0,4.0,4.0,4.0,4.0
151,480,5,4.0,4.0,3.0,3.0,4.0
865,1240,5,0.0,3.0,3.0,3.0,2.0
18,89,3,0.0,3.0,4.0,4.0,4.0
796,553,4,3.0,4.0,4.0,4.0,4.0
643,58,4,4.0,3.0,3.0,3.0,4.0
820,748,1,3.0,3.0,3.0,3.0,3.0
456,1008,4,3.0,3.0,3.0,3.0,3.0
498,474,4,3.0,3.0,3.0,3.0,4.0
868,998,2,3.0,3.0,3.0,4.0,3.0
503,509,5,4.0,4.0,4.0,3.0,4.0
18,204,3,0.0,3.0,4.0,4.0,4.0
488,176,4,4.0,3.0,4.0,4.0,4.0
606,127,4,0.0,3.0,4.0,3.0,4.0
560,201,3,3.0,3.0,3.0,3.0,3.0
277,302,4,4.0,3.0,4.0,3.0,4.0
407,127,3,4.0,3.0,4.0,4.0,4.0
545,569,3,4.0,3.0,4.0,4.0,4.0
916,12,4,3.0,3.0,4.0,4.0,4.0
201,774,1,3.0,3.0,3.0,3.0,3.0
262,235,2,4.0,3.0,4.0,3.0,4.0
620,682,2,4.0,3.0,4.0,3.0,4.0
27,148,3,4.0,3.0,3.0,3.0,4.0
897,173,3,4.0,4.0,4.0,4.0,4.0
840,671,3,4.0,3.0,4.0,3.0,4.0
279,444,3,3.0,3.0,3.0,3.0,3.0
854,461,3,3.0,3.0,3.0,3.0,4.0
653,208,3,3.0,3.0,3.0,3.0,5.0
914,643,4,3.0,4.0,3.0,4.0,3.0
250,123,3,3.0,3.0,3.0,4.0,4.0
363,176,4,0.0,3.0,4.0,4.0,4.0
716,470,4,4.0,3.0,4.0,4.0,4.0
871,245,3,3.0,3.0,4.0,3.0,3.0
250,64,5,4.0,4.0,4.0,4.0,3.0
875,173,5,4.0,4.0,3.0,4.0,4.0
330,22,5,4.0,3.0,3.0,4.0,4.0
450,169,5,4.0,3.0,4.0,4.0,3.0
653,282,3,3.0,3.0,3.0,3.0,4.0
504,371,3,4.0,3.0,4.0,4.0,3.0
391,238,5,3.0,3.0,4.0,3.0,4.0
524,1093,4,3.0,3.0,3.0,3.0,3.0
724,748,1,4.0,3.0,4.0,4.0,3.0
435,451,4,3.0,3.0,3.0,3.0,5.0
269,1438,3,3.0,3.0,3.0,3.0,3.0
128,609,4,0.0,4.0,4.0,4.0,4.0
305,275,2,3.0,4.0,3.0,4.0,4.0
483,582,3,4.0,3.0,3.0,4.0,4.0
145,1073,5,4.0,3.0,4.0,3.0,4.0
425,825,2,0.0,3.0,4.0,3.0,3.0
137,50,5,0.0,3.0,3.0,4.0,4.0
504,294,2,4.0,3.0,3.0,3.0,3.0
248,172,4,3.0,4.0,3.0,4.0,4.0
243,111,4,4.0,3.0,4.0,4.0,3.0
234,663,4,3.0,4.0,3.0,3.0,4.0
215,181,4,3.0,3.0,3.0,3.0,3.0
311,326,2,4.0,3.0,3.0,3.0,4.0
276,684,4,4.0,3.0,4.0,4.0,4.0
297,100,5,3.0,3.0,4.0,3.0,4.0
222,154,3,4.0,4.0,4.0,4.0,3.0
334,196,4,0.0,3.0,4.0,4.0,4.0
405,577,3,2.0,3.0,2.0,2.0,2.0
32,118,3,0.0,3.0,4.0,4.0,4.0
807,739,4,4.0,3.0,4.0,3.0,4.0
145,563,3,0.0,3.0,3.0,3.0,3.0
821,117,3,0.0,3.0,4.0,3.0,4.0
409,327,2,0.0,3.0,3.0,4.0,3.0
13,90,3,3.0,4.0,3.0,3.0,3.0
321,663,2,4.0,4.0,4.0,4.0,4.0
379,197,5,4.0,3.0,4.0,4.0,4.0
884,323,2,3.0,3.0,3.0,3.0,3.0
488,153,2,4.0,3.0,4.0,4.0,4.0
407,219,4,0.0,3.0,3.0,3.0,3.0
405,1275,1,2.0,4.0,2.0,2.0,2.0
399,544,2,3.0,3.0,3.0,4.0,3.0
181,363,1,1.0,3.0,1.0,1.0,3.0
664,792,4,4.0,3.0,3.0,4.0,4.0
793,118,2,3.0,3.0,3.0,3.0,4.0
405,553,1,2.0,3.0,2.0,2.0,4.0
488,183,4,4.0,3.0,4.0,4.0,3.0
655,50,4,0.0,3.0,4.0,4.0,4.0
81,432,2,3.0,3.0,3.0,3.0,4.0
394,132,4,4.0,4.0,4.0,4.0,4.0
588,550,3,3.0,3.0,3.0,3.0,4.0
296,963,5,4.0,3.0,4.0,4.0,4.0
262,181,3,3.0,3.0,3.0,3.0,4.0
445,208,2,0.0,3.0,4.0,4.0,4.0
326,496,5,3.0,4.0,3.0,3.0,4.0
116,730,4,3.0,3.0,5.0,4.0,3.0
760,845,5,5.0,3.0,4.0,4.0,3.0
883,100,4,4.0,3.0,4.0,3.0,4.0
262,1220,4,3.0,3.0,3.0,3.0,3.0
250,629,4,4.0,4.0,4.0,3.0,4.0
627,174,3,0.0,3.0,4.0,4.0,4.0
504,559,5,3.0,3.0,3.0,3.0,4.0
337,520,5,4.0,3.0,3.0,4.0,3.0
73,7,4,3.0,3.0,5.0,4.0,4.0
896,70,4,4.0,4.0,4.0,4.0,3.0
630,975,4,3.0,3.0,4.0,3.0,4.0
933,284,2,3.0,3.0,3.0,3.0,3.0
920,346,4,3.0,3.0,4.0,3.0,3.0
666,302,5,3.0,3.0,4.0,3.0,4.0
889,192,3,3.0,4.0,3.0,3.0,4.0
305,175,4,4.0,3.0,3.0,3.0,4.0
53,258,4,4.0,3.0,4.0,3.0,4.0
199,324,1,3.0,3.0,4.0,4.0,3.0
601,131,4,4.0,4.0,4.0,4.0,3.0
59,866,3,4.0,4.0,4.0,4.0,3.0
805,25,4,4.0,3.0,4.0,4.0,4.0
406,418,5,4.0,4.0,4.0,4.0,4.0
455,214,3,3.0,3.0,3.0,3.0,4.0
788,65,4,0.0,4.0,5.0,3.0,4.0
889,636,4,3.0,3.0,3.0,3.0,3.0
290,218,2,3.0,4.0,3.0,3.0,3.0
466,550,3,3.0,3.0,3.0,4.0,3.0
416,15,4,4.0,3.0,4.0,4.0,4.0
906,544,4,4.0,3.0,3.0,3.0,3.0
889,150,5,4.0,3.0,1.0,3.0,3.0
129,258,2,4.0,3.0,4.0,4.0,4.0
497,204,3,3.0,3.0,3.0,4.0,4.0
896,274,2,4.0,3.0,3.0,3.0,4.0
878,191,4,4.0,4.0,4.0,4.0,4.0
303,264,3,0.0,3.0,3.0,3.0,4.0
268,7,4,3.0,3.0,3.0,3.0,4.0
870,69,4,4.0,3.0,3.0,4.0,4.0
332,288,5,3.0,3.0,1.0,3.0,3.0
643,255,4,4.0,3.0,4.0,4.0,4.0
200,609,3,4.0,4.0,4.0,4.0,4.0
333,316,5,4.0,4.0,3.0,3.0,3.0
456,845,3,5.0,3.0,3.0,5.0,4.0
323,9,4,4.0,4.0,-1.0,4.0,4.0
145,182,5,4.0,3.0,4.0,4.0,3.0
267,203,5,4.0,4.0,4.0,3.0,4.0
889,59,4,3.0,3.0,4.0,4.0,4.0
506,676,1,4.0,4.0,4.0,4.0,3.0
653,1207,1,3.0,3.0,3.0,3.0,3.0
395,318,4,4.0,3.0,4.0,4.0,4.0
868,265,3,4.0,3.0,4.0,4.0,3.0
56,969,3,4.0,4.0,4.0,4.0,4.0
574,302,4,3.0,3.0,3.0,3.0,3.0
862,60,5,0.0,4.0,3.0,4.0,4.0
180,739,3,4.0,3.0,4.0,4.0,4.0
851,875,5,3.0,3.0,3.0,3.0,4.0
717,285,5,0.0,3.0,4.0,4.0,4.0
655,751,3,0.0,3.0,3.0,3.0,3.0
924,273,3,0.0,3.0,4.0,3.0,4.0
568,135,4,4.0,3.0,4.0,4.0,4.0
537,660,3,3.0,3.0,3.0,3.0,4.0
401,482,4,4.0,4.0,4.0,3.0,4.0
838,8,4,4.0,3.0,4.0,4.0,4.0
559,661,3,4.0,4.0,4.0,3.0,3.0
31,302,4,4.0,3.0,3.0,3.0,3.0
246,425,5,3.0,3.0,4.0,3.0,3.0
644,328,4,4.0,3.0,3.0,3.0,4.0
244,756,2,4.0,3.0,4.0,4.0,4.0
97,663,5,4.0,4.0,4.0,3.0,4.0
500,522,4,0.0,3.0,4.0,3.0,4.0
442,177,4,4.0,3.0,4.0,4.0,4.0
422,109,2,4.0,3.0,4.0,4.0,4.0
389,99,5,3.0,4.0,4.0,4.0,5.0
240,242,5,0.0,3.0,4.0,4.0,4.0
645,650,5,3.0,3.0,4.0,4.0,4.0
430,12,4,0.0,3.0,3.0,4.0,4.0
653,15,3,3.0,3.0,4.0,3.0,4.0
279,977,4,3.0,3.0,3.0,3.0,3.0
184,642,4,4.0,3.0,3.0,4.0,4.0
588,132,5,4.0,3.0,4.0,4.0,5.0
407,416,3,0.0,3.0,4.0,4.0,3.0
934,1449,5,4.0,3.0,3.0,3.0,3.0
731,140,2,0.0,4.0,4.0,4.0,3.0
575,79,5,4.0,3.0,4.0,4.0,4.0
545,450,2,4.0,3.0,3.0,4.0,3.0
735,744,3,4.0,3.0,3.0,3.0,3.0
749,485,4,0.0,3.0,4.0,4.0,4.0
406,208,2,4.0,3.0,4.0,4.0,4.0
435,229,2,3.0,3.0,3.0,2.0,3.0
342,143,5,4.0,3.0,4.0,4.0,4.0
155,328,2,0.0,3.0,3.0,3.0,3.0
1,220,3,4.0,3.0,4.0,4.0,4.0
664,79,4,4.0,3.0,4.0,4.0,4.0
13,170,5,4.0,4.0,4.0,3.0,4.0
790,561,3,3.0,3.0,3.0,3.0,3.0
911,428,4,0.0,4.0,4.0,4.0,4.0
269,674,2,3.0,3.0,3.0,3.0,3.0
551,686,3,4.0,4.0,4.0,4.0,4.0
479,273,4,4.0,3.0,3.0,3.0,4.0
932,493,5,4.0,4.0,4.0,4.0,4.0
470,824,4,4.0,3.0,3.0,3.0,4.0
658,628,3,3.0,3.0,4.0,3.0,4.0
13,341,2,4.0,4.0,4.0,4.0,3.0
387,193,5,4.0,3.0,4.0,4.0,4.0
537,7,4,3.0,3.0,1.0,3.0,4.0
655,1535,3,3.0,3.0,3.0,3.0,3.0
361,387,3,0.0,3.0,4.0,4.0,3.0
327,268,4,4.0,3.0,4.0,4.0,3.0
938,742,3,3.0,3.0,3.0,3.0,4.0
385,186,1,0.0,3.0,4.0,4.0,3.0
545,99,4,4.0,3.0,4.0,4.0,2.0
807,820,3,0.0,3.0,3.0,4.0,3.0
130,444,4,3.0,3.0,3.0,3.0,4.0
119,109,5,4.0,3.0,4.0,3.0,4.0
56,441,4,4.0,3.0,3.0,3.0,4.0
7,502,5,0.0,3.0,4.0,4.0,4.0
846,302,5,4.0,3.0,3.0,3.0,3.0
233,91,3,4.0,3.0,4.0,4.0,4.0
405,434,3,2.0,3.0,2.0,2.0,2.0
825,678,4,4.0,3.0,3.0,3.0,4.0
512,273,5,4.0,3.0,4.0,4.0,3.0
795,998,3,3.0,3.0,3.0,3.0,3.0
265,125,4,4.0,3.0,4.0,3.0,3.0
823,692,4,0.0,3.0,4.0,4.0,4.0
299,170,5,0.0,4.0,4.0,4.0,4.0
606,1011,3,4.0,3.0,3.0,3.0,2.0
13,173,2,3.0,4.0,3.0,3.0,4.0
248,323,1,3.0,3.0,3.0,3.0,3.0
77,181,3,0.0,4.0,4.0,3.0,4.0
883,209,3,3.0,3.0,3.0,4.0,3.0
295,642,4,3.0,3.0,3.0,3.0,4.0
18,116,5,0.0,3.0,4.0,3.0,4.0
568,606,5,4.0,4.0,14.0,4.0,3.0
682,237,3,4.0,3.0,6.0,4.0,4.0
212,511,4,4.0,3.0,4.0,4.0,4.0
709,217,5,4.0,3.0,4.0,4.0,3.0
178,39,2,0.0,3.0,3.0,3.0,4.0
389,778,4,3.0,3.0,4.0,3.0,4.0
10,602,5,4.0,4.0,4.0,4.0,4.0
158,1098,4,4.0,3.0,4.0,4.0,4.0
541,1,4,4.0,3.0,2.0,3.0,4.0
378,68,2,3.0,3.0,3.0,3.0,3.0
18,705,3,0.0,3.0,4.0,4.0,4.0
74,13,4,4.0,3.0,3.0,3.0,4.0
528,298,4,0.0,3.0,3.0,3.0,4.0
883,256,5,4.0,3.0,4.0,2.0,3.0
457,1029,3,4.0,3.0,4.0,4.0,4.0
279,1428,3,3.0,3.0,3.0,3.0,3.0
445,933,1,2.0,3.0,2.0,3.0,2.0
393,77,3,3.0,3.0,3.0,3.0,3.0
18,234,3,0.0,4.0,4.0,4.0,4.0
781,245,2,4.0,3.0,4.0,4.0,3.0
682,154,5,3.0,4.0,3.0,4.0,4.0
867,96,5,4.0,3.0,4.0,4.0,4.0
449,127,5,4.0,3.0,4.0,4.0,4.0
610,133,4,0.0,4.0,4.0,4.0,5.0
577,194,4,4.0,3.0,4.0,4.0,5.0
868,679,3,3.0,3.0,-1.0,3.0,3.0
417,574,2,0.0,3.0,4.0,3.0,3.0
416,396,2,4.0,3.0,4.0,4.0,4.0
345,762,5,4.0,3.0,2.0,3.0,4.0
103,405,3,4.0,3.0,4.0,4.0,4.0
567,1019,5,4.0,3.0,4.0,4.0,4.0
679,174,3,0.0,3.0,4.0,3.0,4.0
395,89,5,4.0,3.0,4.0,4.0,4.0
782,1669,2,3.0,3.0,3.0,3.0,3.0
794,224,4,0.0,3.0,4.0,3.0,4.0
802,135,4,0.0,4.0,4.0,4.0,4.0
835,504,5,4.0,4.0,4.0,4.0,4.0
606,150,4,0.0,3.0,4.0,3.0,4.0
174,117,5,0.0,3.0,3.0,3.0,4.0
769,13,4,4.0,3.0,3.0,4.0,3.0
114,224,3,4.0,3.0,4.0,4.0,4.0
938,508,4,3.0,3.0,4.0,4.0,4.0
336,692,3,3.0,3.0,3.0,4.0,3.0
224,258,3,0.0,3.0,3.0,3.0,4.0
260,288,3,4.0,3.0,3.0,4.0,4.0
656,689,2,4.0,4.0,4.0,4.0,3.0
288,180,5,0.0,3.0,4.0,4.0,4.0
456,101,3,3.0,3.0,3.0,3.0,2.0
405,648,1,2.0,4.0,2.0,2.0,4.0
613,303,4,3.0,3.0,3.0,3.0,3.0
417,402,4,0.0,3.0,4.0,4.0,3.0
768,1,5,3.0,3.0,3.0,3.0,4.0
268,68,4,3.0,3.0,3.0,3.0,3.0
280,486,5,0.0,4.0,4.0,4.0,4.0
313,420,5,4.0,4.0,4.0,4.0,3.0
23,421,5,4.0,4.0,4.0,4.0,3.0
94,768,3,4.0,3.0,4.0,4.0,3.0
286,763,2,4.0,3.0,4.0,4.0,4.0
340,378,5,0.0,3.0,4.0,4.0,3.0
213,318,5,4.0,3.0,4.0,4.0,4.0
327,156,4,4.0,3.0,4.0,3.0,4.0
472,258,5,0.0,3.0,4.0,3.0,4.0
521,188,4,3.0,3.0,4.0,4.0,4.0
497,164,4,3.0,3.0,4.0,4.0,3.0
365,7,2,3.0,3.0,3.0,3.0,4.0
14,524,5,3.0,4.0,4.0,4.0,4.0
807,485,5,0.0,4.0,4.0,4.0,4.0
892,441,3,3.0,3.0,3.0,3.0,3.0
420,14,5,4.0,3.0,3.0,3.0,4.0
279,451,1,3.0,3.0,3.0,3.0,4.0
63,251,4,4.0,3.0,3.0,2.0,4.0
313,448,3,4.0,3.0,3.0,3.0,4.0
653,198,4,4.0,3.0,4.0,3.0,5.0
749,732,4,0.0,3.0,3.0,4.0,4.0
234,511,5,3.0,3.0,3.0,3.0,4.0
805,173,4,4.0,4.0,4.0,3.0,4.0
534,288,4,3.0,3.0,4.0,3.0,3.0
892,570,3,4.0,4.0,4.0,3.0,4.0
290,450,2,2.0,3.0,2.0,2.0,3.0
567,257,3,4.0,3.0,3.0,4.0,4.0
784,331,4,3.0,4.0,-4.0,3.0,4.0
796,988,3,4.0,3.0,4.0,3.0,4.0
215,222,4,3.0,3.0,3.0,3.0,4.0
536,389,5,4.0,4.0,4.0,4.0,4.0
891,278,4,4.0,3.0,4.0,3.0,3.0
237,178,4,4.0,4.0,4.0,4.0,4.0
303,71,3,0.0,3.0,4.0,4.0,3.0
551,476,5,4.0,3.0,4.0,4.0,3.0
837,763,1,3.0,3.0,3.0,4.0,4.0
523,727,4,4.0,3.0,4.0,4.0,4.0
458,321,3,4.0,3.0,4.0,4.0,4.0
158,483,5,4.0,3.0,4.0,4.0,4.0
642,66,5,4.0,4.0,4.0,3.0,4.0
387,672,2,4.0,3.0,4.0,4.0,4.0
151,1,5,4.0,3.0,4.0,3.0,4.0
30,29,3,0.0,3.0,3.0,3.0,4.0
523,531,5,4.0,4.0,4.0,4.0,4.0
435,239,4,3.0,3.0,3.0,3.0,4.0
269,63,1,3.0,3.0,3.0,3.0,3.0
406,135,5,4.0,4.0,4.0,4.0,4.0
339,568,3,4.0,3.0,4.0,4.0,4.0
466,56,4,4.0,3.0,4.0,4.0,4.0
406,701,5,4.0,3.0,4.0,4.0,4.0
387,790,1,4.0,3.0,3.0,3.0,3.0
222,527,4,4.0,4.0,3.0,4.0,4.0
658,730,3,4.0,3.0,3.0,3.0,4.0
886,733,4,3.0,3.0,3.0,3.0,3.0
727,552,2,0.0,3.0,4.0,3.0,3.0
492,100,4,4.0,3.0,4.0,4.0,4.0
542,384,3,4.0,3.0,4.0,4.0,4.0
655,653,3,0.0,4.0,3.0,4.0,4.0
334,582,5,0.0,4.0,4.0,4.0,4.0
648,105,3,3.0,3.0,3.0,3.0,3.0
339,1404,5,4.0,4.0,4.0,4.0,4.0
417,161,3,0.0,3.0,4.0,4.0,4.0
361,285,4,0.0,3.0,4.0,4.0,4.0
534,1047,4,4.0,4.0,1.0,3.0,3.0
846,748,3,4.0,3.0,3.0,3.0,4.0
548,696,4,4.0,3.0,5.0,4.0,4.0
429,583,3,3.0,3.0,2.0,2.0,3.0
871,190,2,4.0,4.0,4.0,4.0,4.0
369,181,5,4.0,3.0,3.0,3.0,3.0
593,179,5,4.0,3.0,4.0,3.0,4.0
622,769,1,3.0,3.0,3.0,4.0,3.0
524,4,4,3.0,3.0,4.0,3.0,4.0
264,451,4,3.0,3.0,3.0,3.0,4.0
280,655,3,0.0,4.0,4.0,4.0,4.0
393,322,4,4.0,3.0,3.0,3.0,3.0
416,1168,4,4.0,3.0,4.0,4.0,4.0
533,423,5,4.0,3.0,4.0,4.0,4.0
330,284,5,3.0,3.0,3.0,3.0,4.0
727,55,3,4.0,3.0,4.0,3.0,3.0
828,886,1,3.0,3.0,3.0,3.0,4.0
497,173,5,3.0,4.0,3.0,4.0,4.0
829,1121,4,4.0,4.0,4.0,4.0,4.0
363,1267,2,3.0,3.0,3.0,3.0,3.0
514,173,5,4.0,3.0,4.0,4.0,4.0
446,327,2,3.0,3.0,3.0,3.0,4.0
699,288,3,0.0,3.0,3.0,3.0,4.0
354,248,4,0.0,3.0,4.0,4.0,4.0
643,423,4,4.0,3.0,2.0,3.0,3.0
881,77,2,3.0,3.0,3.0,3.0,4.0
6,286,2,3.0,3.0,3.0,3.0,4.0
934,144,4,4.0,3.0,4.0,4.0,4.0
184,478,4,4.0,4.0,4.0,4.0,4.0
698,434,4,4.0,4.0,4.0,4.0,3.0
59,51,5,4.0,3.0,4.0,4.0,4.0
536,603,4,2.0,4.0,2.0,2.0,4.0
673,327,4,4.0,3.0,4.0,3.0,3.0
523,949,5,4.0,3.0,4.0,4.0,4.0
653,386,1,3.0,3.0,3.0,3.0,3.0
435,185,4,3.0,3.0,3.0,3.0,4.0
82,125,3,4.0,3.0,4.0,3.0,3.0
796,1046,3,4.0,3.0,4.0,3.0,4.0
650,898,3,0.0,4.0,3.0,3.0,4.0
294,879,4,0.0,3.0,3.0,3.0,3.0
450,498,3,4.0,4.0,4.0,4.0,4.0
911,432,3,4.0,3.0,4.0,4.0,4.0
378,708,4,3.0,3.0,3.0,3.0,4.0
625,91,4,0.0,3.0,4.0,4.0,3.0
437,100,4,4.0,3.0,4.0,3.0,4.0
764,321,1,3.0,3.0,3.0,3.0,4.0
655,636,3,0.0,3.0,3.0,4.0,3.0
1,87,5,4.0,3.0,4.0,3.0,4.0
49,85,3,0.0,3.0,3.0,3.0,3.0
637,1374,1,3.0,1.0,3.0,1.0,3.0
275,191,4,4.0,4.0,4.0,4.0,4.0
716,86,5,4.0,4.0,4.0,4.0,4.0
18,191,4,0.0,4.0,4.0,3.0,4.0
427,289,5,4.0,3.0,3.0,3.0,3.0
64,11,4,4.0,3.0,4.0,4.0,4.0
377,272,5,3.0,3.0,3.0,3.0,4.0
744,603,5,4.0,4.0,4.0,4.0,4.0
181,424,1,0.0,3.0,3.0,3.0,1.0
773,209,5,3.0,3.0,3.0,3.0,3.0
432,150,5,4.0,3.0,4.0,4.0,4.0
398,13,3,4.0,4.0,4.0,3.0,4.0
448,333,2,4.0,3.0,3.0,3.0,3.0
92,841,3,3.0,4.0,3.0,4.0,4.0
339,589,5,4.0,3.0,3.0,3.0,4.0
416,295,5,4.0,3.0,3.0,3.0,4.0
119,93,4,4.0,3.0,4.0,4.0,3.0
299,462,5,0.0,3.0,4.0,4.0,4.0
327,56,2,4.0,3.0,4.0,3.0,4.0
757,232,3,3.0,3.0,3.0,3.0,4.0
300,409,4,4.0,3.0,4.0,1.0,4.0
183,1159,3,3.0,4.0,3.0,3.0,3.0
416,204,5,4.0,4.0,4.0,4.0,4.0
880,245,2,3.0,3.0,3.0,3.0,3.0
97,482,5,0.0,4.0,3.0,3.0,4.0
181,328,3,0.0,3.0,3.0,3.0,3.0
523,935,5,4.0,3.0,4.0,3.0,4.0
17,475,4,3.0,3.0,4.0,4.0,3.0
660,254,1,3.0,4.0,3.0,3.0,3.0
804,105,3,4.0,3.0,4.0,4.0,4.0
215,272,3,3.0,3.0,3.0,3.0,3.0
334,193,4,0.0,3.0,4.0,4.0,4.0
529,325,3,3.0,3.0,4.0,3.0,3.0
619,233,4,4.0,3.0,3.0,4.0,4.0
560,278,1,4.0,3.0,3.0,1.0,3.0
624,591,3,4.0,3.0,4.0,3.0,4.0
941,294,4,3.0,3.0,3.0,3.0,3.0
